神经质,严谨性,宜人性,开放性,外向性
0.25,0.525,0.7,0.55,0.3
0.8,0.775,0.8,0.25,0.2
0.425,0.875,0.875,0.775,0.75
0.25,0.875,0.875,0.475,0.175
0.55,0.8,0.825,0.7,0.675
0.4,0.775,0.2,0.8,0.45
0.025,0.825,0.875,0.8,0.85
0.225,0.875,0.8,0.775,0.675
0.2,0.925,0.775,0.725,0.675
0.675,0.675,0.65,0.7,0.675
0.075,0.9,0.9,0.825,0.975
0.1,0.775,0.8,0.8,0.8
0.175,0.725,0.875,0.85,0.875
0.55,0.775,0.9,0.7,0.775
0.025,0.85,0.9,0.85,0.575
0.15,0.9,0.85,0.85,0.875
0.125,0.825,0.925,0.775,0.675
0.1,0.75,0.875,0.825,0.8
0.15,0.9,0.875,0.85,0.875
0.525,0.475,0.725,0.65,0.6
0.6,0.875,0.8,0.625,0.425
0.4,0.775,0.675,0.55,0.5
0.3,0.825,0.7,0.725,0.425
0.375,0.775,0.6,0.75,0.775
0.45,0.8,0.725,0.625,0.55
0.5,0.8,0.675,0.525,0.125
0.4,0.725,0.7,0.85,0.75
0.425,0.675,0.55,0.55,0.425
0.15,0.8,0.85,0.95,0.7
0.15,0.85,0.825,0.825,0.875
0.275,0.825,0.775,0.85,0.8
0.2,0.85,0.8,0.825,0.875
0.2,0.85,0.8,0.825,0.875
0.5,0.4,0.6,0.55,0.425
0.1,0.775,0.65,0.375,0.5
0.05,0.85,0.85,0.9,0.7
0.125,0.875,0.925,0.875,0.6
0.125,0.875,0.825,0.825,0.875
0.125,0.775,0.85,0.85,0.875
0.225,0.825,0.725,0.75,0.7
0.15,0.9,0.825,0.85,0.775
0.35,0.575,0.85,0.575,0.775
0.475,0.8,0.7,0.375,0.525
0.2,0.875,0.875,0.8,0.85
0.175,0.475,0.875,0.775,0.6
0.2,0.925,0.775,0.8,0.85
0.125,0.875,0.825,0.8,0.95
0.05,0.85,0.775,0.675,0.875
0.425,0.85,0.75,0.875,0.625
0.225,0.775,0.725,0.625,0.575
0.45,0.55,0.6,0.7,0.55
0.1,0.825,0.875,0.775,0.75
0.425,0.625,0.575,0.875,0.8
0.325,0.825,0.7,0.7,0.6
0.45,0.875,0.9,0.85,0.675
0.15,0.7,0.7,0.7,0.675
0.3,0.85,0.475,0.675,0.4
0.225,0.825,0.725,0.6,0.6
0.15,0.85,0.825,0.9,0.75
0.35,0.825,0.825,0.475,0.5
0.15,0.875,0.875,0.95,0.7
0.45,0.75,0.775,0.425,0.8
0.1,0.925,0.85,0.775,0.8
0.75,0.55,0.45,0.5,0.375
0.275,0.575,0.65,0.7,0.425
0.65,0.85,0.8,0.575,0.6
0.45,0.8,0.8,0.775,0.65
0.075,0.9,0.75,0.8,0.875
0.125,0.9,0.875,0.9,0.8
0.725,0.8,0.525,0.625,0.3
0.2,0.875,0.875,0.875,0.85
0.725,0.925,0.525,0.575,0.5
0.3,0.925,0.975,0.725,0.65
0.125,0.825,0.675,0.875,0.875
0.225,0.9,0.825,0.6,0.75
0.2,0.875,0.775,0.775,0.75
0.675,0.55,0.525,0.2,0.2
0.15,0.85,0.875,0.925,0.675
0.55,0.95,0.8,0.65,0.825
0.35,0.825,0.875,0.625,0.3
0.725,0.875,0.4,0.625,0.35
0.475,0.625,0.725,0.35,0.175
0.15,0.875,0.925,0.9,0.9
0.375,0.8,0.975,0.675,0.575
0.85,0.425,0.75,0.275,0.25
0.225,0.875,0.975,0.85,0.65
0.1,0.775,0.4,0.75,0.7
0.275,0.85,0.675,0.7,0.75
0.5,0.85,0.9,0.525,0.275
0.8,0.7,0.3,0.125,0.1
0.125,0.875,0.8,0.575,0.475
0.725,0.925,0.7,0.825,0.25
0.075,0.95,0.8,0.875,0.825
0.2,0.875,0.775,0.75,0.725
0.15,0.925,0.875,0.875,0.625
0.475,0.925,0.825,0.825,0.75
0.275,0.675,0.675,0.7,0.75
0.675,0.6,0.425,0.875,0.275
0.325,0.925,0.75,0.775,0.45
0.275,0.9,0.85,0.8,0.9
0.15,0.775,0.75,0.725,0.75
0.075,0.85,0.875,0.825,0.825
0.1,0.875,0.85,0.8,0.825
0.275,0.825,0.75,0.6,0.7
0.925,0.65,0.875,0.55,0.075
0.225,0.8,0.775,0.8,0.875
0.4,0.7,0.55,0.525,0.4
0.075,0.85,0.6,0.925,0.85
0.575,0.7,0.675,0.575,0.6
0.125,0.6,0.875,0.925,0.9
0.525,0.875,0.725,0.7,0.65
